_id,address_1,address_2,address_3,brewery_type,city,country,id,latitude,longitude,name,phone,postal_code,state,state_province,street,website_url
64278c5edc5bf260323826e7,1716 Topeka St,null,null,micro,Norman,United States,5128df48-79fc-4f0f-8b52-d06be54d0cec,35.25738891,-97.46818222,(405) Brewing Co,4058160490,73069-8224,Oklahoma,Oklahoma,1716 Topeka St,http://www.405brewing.com
64278c5edc5bf260323826e9,1501 E St,null,null,large,San Diego,United States,ef970757-fe42-416f-931d-722451f1f59c,32.714813,-117.129593,10 Barrel Brewing Co,6195782311,92101-6618,California,California,1501 E St,http://10barrel.com
64278c5edc5bf260323826ea,62970 18th St,null,null,large,Bend,United States,6d14b220-8926-4521-8d19-b98a2d6ec3db,44.08683531,-121.281706,10 Barrel Brewing Co,5415851007,97701-9847,Oregon,Oregon,62970 18th St,http://www.10barrel.com
64278c5edc5bf260323826eb,1135 NW Galveston Ave Ste B,null,null,large,Bend,United States,e2e78bd8-80ff-4a61-a65c-3bfbd9d76ce2,44.0575649,-121.3288021,10 Barrel Brewing Co,5415851007,97703-2465,Oregon,Oregon,1135 NW Galveston Ave Ste B,null
64278c5edc5bf260323826ec,1411 NW Flanders St,null,null,large,Portland,United States,e432899b-7f58-455f-9c7b-9a6e2130a1e0,45.5259786,-122.6855056,10 Barrel Brewing Co,5032241700,97209-2620,Oregon,Oregon,1411 NW Flanders St,http://www.10barrel.com
64278c5edc5bf260323826ed,62950 NE 18th St,null,null,large,Bend,United States,9f1852da-c312-42da-9a31-097bac81c4c0,44.0912109,-121.2809536,10 Barrel Brewing Co - Bend Pub,5415851007,97701,Oregon,Oregon,62950 NE 18th St,null
64278c5edc5bf260323826ee,826 W Bannock St,null,null,large,Boise,United States,ea4f30c0-bce6-416b-8904-fab4055a7362,43.618516,-116.202929,10 Barrel Brewing Co - Boise,2083445870,83702-5857,Idaho,Idaho,826 W Bannock St,http://www.10barrel.com
64278c5edc5bf260323826ef,2620 Walnut St,null,null,large,Denver,United States,1988eb86-f0a2-4674-ba04-02454efa0d31,39.7592508,-104.9853655,10 Barrel Brewing Co - Denver,7205738992,80205-2231,Colorado,Colorado,2620 Walnut St,null
64278c5edc5bf260323826f0,490 Mill St,null,null,micro,Reno,United States,1ecc330f-6275-42a5-b14e-00adbed62752,39.5171702,-119.7732015,10 Torr Distilling and Brewing,7755307014,89502,Nevada,Nevada,490 Mill St,http://www.10torr.com
64278c5edc5bf260323826f1,400 Brown Cir,null,null,micro,Knox,United States,7531dbd8-afc9-4b5b-95bc-7ece7f2c0bf3,41.289715,-86.627954,10-56 Brewing Company,6308165790,46534,Indiana,Indiana,400 Brown Cir,null
64278c5edc5bf260323826f2,294793 US Highway 101,null,null,brewpub,Quilcene,United States,03118499-a3d0-4c22-860d-4529509ae095,47.82347577,-122.8755823,101 Brewery,3607656485,98376-9000,Washington,Washington,294793 US Highway 101,http://www.101brewery.com
64278c5edc5bf260323826f3,1304 Scott St Ste D,null,null,closed,Petaluma,United States,5ae467af-66dc-4d7f-8839-44228f89b596,38.27029381,-122.665055,101 North Brewing Company,7077534934,94954-7100,California,California,1304 Scott St Ste D,http://www.101northbeer.com
64278c5edc5bf260323826f4,1043 Park St,null,null,micro,Castle Rock,United States,4ffda196-dd59-44a5-9eeb-5f7fd4b58f5a,39.38269495,-104.8667206,105 West Brewing Co,3033257321,80109-1585,Colorado,Colorado,1043 Park St,http://www.105westbrewing.com
