,brewery_name,brewery_location,brewery_type,number_beers,brewery_ratings
0,Brujos Brewing,"Portland, OR United States",Contract Brewery,"14 Beers 4,665 Ratings",(4.46)
1,Punchiller,"Minsk, Minsk Belarus",Contract Brewery,"127 Beers 6,755 Ratings",(4.4)
2,Sergacore Brewery,"Moscow, Москва Russia",Contract Brewery,"21 Beers 6,307 Ratings",(4.385)
3,Dude Brewing,"Caxias do Sul, Rio Grande do Sul Brazil",Contract Brewery,"36 Beers 6,417 Ratings",(4.374)
4,КУЛИNAR,"Moscow, Moscow Russia",Contract Brewery,"10 Beers 6,663 Ratings",(4.301)
5,Strange Companion,"Giarmata, Timiș Romania",Contract Brewery,"6 Beers 1,134 Ratings",(4.287)
6,Temporal Artisan Ales,"Vancouver, BC Canada",Contract Brewery,"56 Beers 6,312 Ratings",(4.27)
7,MAZURT Brewing Company,"Atlanta, GA United States",Contract Brewery,"73 Beers 3,223 Ratings",(4.245)
8,DASH Brewing Co.,"Paranaguá, Paraná Brazil",Contract Brewery,"8 Beers 1,471 Ratings",(4.232)
9,Cervejaria EquiliBrew,"Florianópolis, Santa Catarina Brazil",Contract Brewery,"32 Beers 1,670 Ratings",(4.207)
10,Low Frequency Brews,Romania,Contract Brewery,"5 Beers 1,426 Ratings",(4.191)
11,Hespanha Brewery,"Curitiba, Paraná Brazil",Contract Brewery,"25 Beers 2,664 Ratings",(4.185)
12,Locals Only Brewing Co.,"São Paulo, São Paulo Brazil",Contract Brewery,"45 Beers 7,991 Ratings",(4.145)
13,The Dead Rabbits Brewing Co.,"Rio de Janeiro, Rio de Janeiro Brazil",Contract Brewery,"11 Beers 3,241 Ratings",(4.145)
14,MUZA BREWING CO,"Lviv, Львівська область Ukraine",Contract Brewery,"64 Beers 8,780 Ratings",(4.144)
15,Guaja Brewery,Spain,Contract Brewery,"14 Beers 1,060 Ratings",(4.142)
16,Cervejaria Augustinus,"São Paulo, São Paulo Brazil",Contract Brewery,"49 Beers 25,655 Ratings",(4.14)
17,Quatro Graus,"Rio de Janeiro, Rio de Janeiro Brazil",Contract Brewery,"87 Beers 34,467 Ratings",(4.139)
18,Stormy Brewing Co.,"Campinas, São Paulo Brazil",Contract Brewery,"36 Beers 8,226 Ratings",(4.137)
19,Humble Forager Brewery,"Waunakee, WI United States",Contract Brewery,"79 Beers 202,155 Ratings",(4.133)
20,Under Tap Brewing Co,"Santo André, São Paulo Brazil",Contract Brewery,"68 Beers 16,511 Ratings",(4.129)
