,brewery_name,brewery_location,brewery_type,number_beers,brewery_ratings
0,Floodland Brewing,"Seattle, WA United States",Micro Brewery,"11 Beers 40,122 Ratings",(4.44)
1,Side Project Brewing,"Saint Louis, MO United States",Micro Brewery,"241 Beers 447,783 Ratings",(4.434)
2,Fidens Brewing Co,"Colonie, NY United States",Micro Brewery,"272 Beers 212,316 Ratings",(4.393)
3,Smooj,"Ann Arbor, MI United States",Micro Brewery,"36 Beers 43,119 Ratings",(4.39)
4,Weaver Hollow Brewery,"Andes, NY United States",Micro Brewery,"51 Beers 3,208 Ratings",(4.384)
5,Root + Branch Brewing,"Copiague, NY United States",Micro Brewery,"193 Beers 117,754 Ratings",(4.369)
6,Horus Aged Ales,"Oceanside, CA United States",Micro Brewery,"183 Beers 86,613 Ratings",(4.353)
7,Brasserie Cantillon,"Anderlecht, Brussels Belgium",Micro Brewery,"120 Beers 895,738 Ratings",(4.342)
8,Casey Brewing & Blending,"Glenwood Springs, CO United States",Micro Brewery,"666 Beers 238,820 Ratings",(4.341)
9,Freak Folk Bier,"Waterbury Village Historic District, VT United States",Micro Brewery,"68 Beers 14,925 Ratings",(4.341)
10,House of Fermentology,"Burlington, VT United States",Micro Brewery,"40 Beers 13,765 Ratings",(4.338)
11,Mortalis Brewing Company,"Avon, NY United States",Micro Brewery,"529 Beers 332,872 Ratings",(4.332)
12,Hill Farmstead Brewery,"Greensboro, VT United States",Micro Brewery,"341 Beers 1,239,901 Ratings",(4.319)
13,Brasserie du Bas-Canada,"Gatineau, QC Canada",Micro Brewery,"245 Beers 196,199 Ratings",(4.306)
14,Amalgam Brewing,"Denver, CO United States",Micro Brewery,"62 Beers 5,179 Ratings",(4.302)
15,Monkish Brewing Co.,"Torrance, CA United States",Micro Brewery,"826 Beers 944,822 Ratings",(4.301)
16,Brouwerij 3 Fonteinen,"Lot, Vlaanderen Belgium",Micro Brewery,"36 Beers 622,827 Ratings",(4.293)
17,CLAG Brewing Company,"Sandusky, OH United States",Micro Brewery,"181 Beers 34,317 Ratings",(4.289)
18,Corporate Ladder Brewing Company,"Palmetto, FL United States",Micro Brewery,"517 Beers 86,150 Ratings",(4.284)
19,Electric Brewing Co.,"Murrieta, CA United States",Micro Brewery,"422 Beers 110,880 Ratings",(4.282)
20,Shared,"Saint Louis, MO United States",Micro Brewery,"130 Beers 110,964 Ratings",(4.276)
21,Cult Of Oak,"Netherton, West Midlands England",Micro Brewery,"24 Beers 1,597 Ratings",(4.276)
22,BKS Artisan Ales,"Kansas City, MO United States",Micro Brewery,"556 Beers 75,391 Ratings",(4.274)
23,de Garde Brewing,"Tillamook, OR United States",Micro Brewery,"337 Beers 388,737 Ratings",(4.266)
24,Spartacus Brewing,"Juiz de Fora, Minas Gerais Brazil",Micro Brewery,"169 Beers 88,276 Ratings",(4.264)
25,Little Log Cabin Brewing Co.,"Ardmore, PA United States",Micro Brewery,"28 Beers 24,373 Ratings",(4.255)
26,Sante Adairius Rustic Ales,"Capitola, CA United States",Micro Brewery,"461 Beers 318,917 Ratings",(4.255)
27,The Ale Apothecary,"Bend, OR United States",Micro Brewery,"296 Beers 71,944 Ratings",(4.251)
28,Barclay Brewing Co.,"North Haven, CT United States",Micro Brewery,"33 Beers 13,839 Ratings",(4.249)
29,Knotted Root Brewing Company,"Nederland, CO United States",Micro Brewery,"228 Beers 61,559 Ratings",(4.23)
30,Slice Beer Company,"Lincoln, CA United States",Micro Brewery,"154 Beers 51,916 Ratings",(4.228)
31,HOMES Brewery,"Ann Arbor, MI United States",Micro Brewery,"310 Beers 239,915 Ratings",(4.227)
32,Burns Family Artisan Ales,"Denver, CO United States",Micro Brewery,"175 Beers 9,447 Ratings",(4.226)
33,Angry Chair Brewing,"Tampa, FL United States",Micro Brewery,"855 Beers 422,777 Ratings",(4.224)
34,Hudson Valley Brewery,"Beacon, NY United States",Micro Brewery,"330 Beers 437,319 Ratings",(4.223)
35,Suarez Family Brewery,"Livingston, NY United States",Micro Brewery,"129 Beers 131,451 Ratings",(4.219)
36,Adventurous Brewing,"Bettendorf, IA United States",Micro Brewery,"203 Beers 34,159 Ratings",(4.218)
37,Messorem,"Montreal, QC Canada",Micro Brewery,"386 Beers 188,838 Ratings",(4.213)
38,Cycle Brewing Company,"St. Petersburg, FL United States",Micro Brewery,"522 Beers 445,490 Ratings",(4.209)
39,Timber Ales,"New York, NY United States",Micro Brewery,"91 Beers 89,308 Ratings",(4.207)
40,Badlands Brewing Company,"Caledon, ON Canada",Micro Brewery,"309 Beers 87,025 Ratings",(4.205)
41,Pulpit Rock Brewing Company,"Decorah, IA United States",Micro Brewery,"441 Beers 181,696 Ratings",(4.205)
42,LULZ Hard Seltzer,"Lake Zurich, IL United States",Micro Brewery,"22 Beers 9,877 Ratings",(4.204)
43,The Referend Bier Blendery,"Kutztown, PA United States",Micro Brewery,"190 Beers 44,955 Ratings",(4.203)
44,Brasserie Auval Brewing,"Val d'Espoir, QC Canada",Micro Brewery,"69 Beers 61,113 Ratings",(4.203)
45,Mcilhenney Brewing Company,"Alpine, CA United States",Micro Brewery,"41 Beers 6,665 Ratings",(4.202)
46,Field & Oak,"Ocean Township, NJ United States",Micro Brewery,"49 Beers 5,246 Ratings",(4.2)
47,Mixed Breed Brewing,"Guilderland Center, NY United States",Micro Brewery,"67 Beers 7,559 Ratings",(4.199)
48,Long Live Beerworks,"Providence, RI United States",Micro Brewery,"591 Beers 187,802 Ratings",(4.198)
49,Boiler Brewing Co.,"Lincoln, NE United States",Micro Brewery,"858 Beers 140,582 Ratings",(4.198)
