,brewery_name,brewery_location,brewery_type,number_beers,brewery_ratings
0,Willow Park Brewing,"Bethlehem, PA United States",Нанопивоварня,"95 Beers 1,766 Ratings",(4.557)
1,nebuleus,"Portland, OR United States",Нанопивоварня,"50 Beers 2,477 Ratings",(4.483)
2,Emperor's Brewery,"Coalville, Leicestershire England",Нанопивоварня,"49 Beers 1,639 Ratings",(4.444)
3,Bokke,"Hasselt, Vlaanderen Belgium",Нанопивоварня,"132 Beers 50,064 Ratings",(4.431)
4,Prolyfk Brewing Project,"New Bern, NC United States",Нанопивоварня,"213 Beers 2,183 Ratings",(4.413)
5,Brett & Sauvage,"Sainte-Thérèse-de-Gaspé, QC Canada",Нанопивоварня,"25 Beers 4,999 Ratings",(4.413)
6,Private Press Brewing,"Santa Cruz, CA United States",Нанопивоварня,"34 Beers 18,037 Ratings",(4.413)
7,Mindful Ales,"Jersey City, NJ United States",Нанопивоварня,"85 Beers 1,535 Ratings",(4.405)
8,Troon Brewing,"Hopewell, NJ United States",Нанопивоварня,"338 Beers 111,715 Ratings",(4.354)
9,Symbiose Brewing / Blending,"Groningen, Groningen Netherlands",Нанопивоварня,"48 Beers 2,848 Ratings",(4.316)
10,Los Forajidos Brewing Co.,"São Paulo, São Paulo Brazil",Нанопивоварня,"12 Beers 1,148 Ratings",(4.312)
11,Bugtown Project,Russia,Нанопивоварня,"12 Beers 2,898 Ratings",(4.298)
12,Wunderkammer Biermanufaktur,"Albany, VT United States",Nano Brewery,"26 Beers 3,245 Ratings",(4.286)
13,Three Chiefs Brewing Co.,"Los Angeles, CA United States",Nano Brewery,"74 Beers 10,558 Ratings",(4.281)
14,Tarin Cervejaria,"Nova Lima, Minas Gerais Brazil",Nano Brewery,"112 Beers 20,347 Ratings",(4.28)
15,Hankzbier,"Juiz de Fora, Minas Gerais Brazil",Nano Brewery,"73 Beers 5,653 Ratings",(4.279)
16,Obercreek Brewing Company,"Wappingers Falls, NY United States",Nano Brewery,"262 Beers 18,705 Ratings",(4.276)
17,Huisstekerij H.ertie,"Duisburg, Nordrhein-Westfalen Germany",Nano Brewery,"109 Beers 4,787 Ratings",(4.268)
18,Wood Brothers Brewing Co.,"Glen Robertson, ON Canada",Nano Brewery,"360 Beers 52,685 Ratings",(4.266)
19,Juicy Brewing Co,"Herndon, VA United States",Nano Brewery,"168 Beers 10,848 Ratings",(4.263)
20,The Eighth State Brewing Company,"Greenville, SC United States",Nano Brewery,"454 Beers 65,608 Ratings",(4.256)
21,Transcend Beer Crafters,"Southington, CT United States",Nano Brewery,"201 Beers 19,518 Ratings",(4.251)
22,Orchestrated Minds Brewing,"Fort Lauderdale, FL United States",Nano Brewery,"656 Beers 17,387 Ratings",(4.249)
23,Bofkont,"Kontich, Vlaanderen Belgium",Nano Brewery,"37 Beers 22,894 Ratings",(4.248)
24,Free Reign Brewing Co.,"Mt. Pleasant, SC United States",Nano Brewery,"14 Beers 1,481 Ratings",(4.246)
25,Big Pot,"Rostov-on-Don, Rostov Oblast Russia",Нанопивоварня,"55 Beers 5,082 Ratings",(4.24)
26,Cypress Creek Southern Ales,"Winnsboro, TX United States",Nano Brewery,"73 Beers 3,288 Ratings",(4.238)
27,Antidoot - Wilde Fermenten,"Kortenaken, Vlaanderen Belgium",Nano Brewery,"55 Beers 29,769 Ratings",(4.238)
